"","name","caption"
"215","screens/vlcsnap-2022-12-17-17h58m07s724.png","the attack shocked the Soviet Union"
"216","screens/vlcsnap-2022-12-17-17h58m13s866.png","Boris Yeltsin had once been Gorbachev's main ally"
"217","screens/vlcsnap-2022-12-17-17h58m16s824.png","but now Yeltsin believed that perestroika had failed"
"218","screens/vlcsnap-2022-12-17-17h58m19s765.png","there were less and less goods in the shops"
"219","screens/vlcsnap-2022-12-17-17h58m21s294.png","in Poland and Germany the borders to the west were about to collapse"
"220","screens/vlcsnap-2022-12-17-17h58m24s429.png","in Vorkuta the miners began a mass strike"
"221","screens/vlcsnap-2022-12-17-17h58m27s658.png","nationalists had begin attacking Soviet troops in Armenia"
"222","screens/vlcsnap-2022-12-17-17h58m30s410.png","Yeltsin believed the only way to save Russia was to end the communist system completely"
"223","screens/vlcsnap-2022-12-17-17h58m32s535.png","and replace it with democracy and capitalism"
"224","screens/vlcsnap-2022-12-17-17h58m35s363.png","Phobos 2 control centre Star City"
"225","screens/vlcsnap-2022-12-17-17h58m38s409.png","the spacecraft was approaching Phobos"
"226","screens/vlcsnap-2022-12-17-17h58m41s619.png","suddenly all contact with the space vehicle was lost"
"227","screens/vlcsnap-2022-12-17-17h58m43s739.png","it disappeared no one knew why"
"228","screens/vlcsnap-2022-12-17-17h59m39s490.png","anti-communist demonstration Moscow"
"229","screens/vlcsnap-2022-12-17-18h00m04s525.png","thanks to the hundreds of BBC crews who recorded these events in Russia over the past 35 years"
